past_hours [hours],MAE,RMSE
6,0.3299624,0.3905998603360561
12,0.43975207,0.4723152948579255
24,0.10778113,0.15263864512335373
48,0.22729075,0.2803143860148557
72,0.122117825,0.1666174135348349
96,0.1616021,0.21642428677582276
120,0.1564367,0.19963953980957555
144,0.21107858,0.2646683266686342
168,0.17047371,0.2303699912206149
